Property ID,Building Type,Year Built,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Th50000000,Apartment,1991,2022-04-20,2,15266,993,4 out of 12,Built Area,Area 870,Ghaziabad,Furnished,Bachelors,1,Contact Owner
Th50000001,Apartment,1996,2022-07-04,1,15066,823,8 out of 5,Built Area,Area 150,Meerut,Semi-Furnished,Bachelors,1,Contact Agent
Th50000002,Apartment,2015,2022-04-10,3,12474,727,9 out of 8,Carpet Area,Area 274,Vijayawada,Unfurnished,Family,3,Contact Owner
Th50000003,Apartment,2014,2022-05-25,2,11255,1072,5 out of 8,Plot Area,Area 987,Faridabad,Furnished,Bachelors,1,Contact Agent
Th50000004,Apartment,1993,2022-06-03,2,18937,1293,3 out of 12,Super Area,Area 655,Jodhpur,Semi-Furnished,Family,1,Contact Owner
Th50000005,Apartment,2013,2022-07-03,2,6869,1057,10 out of 16,Built Area,Area 780,Coimbatore,Semi-Furnished,Family,1,Contact Agent
Th50000006,Apartment,1997,2022-05-02,1,8560,1182,8 out of 9,Built Area,Area 715,Aurangabad,Unfurnished,Bachelors,1,Contact Owner
Th50000007,Apartment,1994,2022-04-13,2,4145,731,9 out of 5,Carpet Area,Area 747,Chandigarh,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50000008,Apartment,2021,2022-05-27,2,23688,1194,2 out of 17,Carpet Area,Area 794,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50000009,Apartment,1991,2022-04-11,3,15380,877,6 out of 13,Super Area,Area 653,Patna,Furnished,Bachelors,1,Contact Owner
Th50000010,Apartment,2008,2022-04-23,3,13048,891,4 out of 3,Super Area,Area 430,Ludhiana,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50000011,Apartment,2021,2022-04-30,2,6354,521,5 out of 20,Super Area,Area 718,Ranchi,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50000012,Apartment,2012,2022-05-17,3,14558,972,5 out of 4,Built Area,Area 542,Patna,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000013,Apartment,2000,2022-05-04,1,7651,752,10 out of 4,Carpet Area,Area 667,Ahmedabad,Unfurnished,Bachelors/Family,2,Contact Agent
Th50000014,Apartment,1999,2022-06-25,2,16522,1167,5 out of 8,Carpet Area,Area 758,Noida,Furnished,Family,1,Contact Agent
Th50000015,Apartment,2000,2022-05-07,2,17521,1050,2 out of 6,Carpet Area,Area 257,Lucknow,Semi-Furnished,Bachelors,3,Contact Owner
Th50000016,Apartment,2001,2022-06-22,3,10393,1014,9 out of 16,Plot Area,Area 830,Noida,Furnished,Bachelors,1,Contact Agent
Th50000017,Apartment,2006,2022-06-12,1,7315,1295,5 out of 4,Carpet Area,Area 708,Noida,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50000018,Apartment,2004,2022-06-01,3,7857,863,10 out of 10,Plot Area,Area 914,Ghaziabad,Unfurnished,Bachelors/Family,3,Contact Agent
Th50000019,Apartment,1991,2022-05-14,2,11418,950,4 out of 11,Plot Area,Area 835,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50000020,Apartment,1990,2022-04-26,2,11838,598,8 out of 18,Plot Area,Area 853,Faridabad,Unfurnished,Bachelors/Family,2,Contact Owner
Th50000021,Apartment,2019,2022-04-01,2,13819,1201,1 out of 9,Built Area,Area 210,Kalyan-Dombivli,Semi-Furnished,Family,3,Contact Owner
Th50000022,Apartment,2010,2022-07-04,3,9481,1296,8 out of 10,Super Area,Area 922,Coimbatore,Unfurnished,Bachelors/Family,2,Contact Owner
Th50000023,Apartment,2019,2022-04-22,2,19530,983,8 out of 7,Carpet Area,Area 345,Rajkot,Furnished,Family,1,Contact Agent
Th50000024,Apartment,1998,2022-04-16,2,10867,662,3 out of 11,Built Area,Area 155,Mysore,Unfurnished,Bachelors,3,Contact Owner
Th50000025,Apartment,2020,2022-06-24,1,8228,1151,7 out of 11,Super Area,Area 621,Meerut,Furnished,Bachelors/Family,3,Contact Owner
Th50000026,Apartment,2013,2022-05-15,3,6099,781,8 out of 17,Plot Area,Area 386,Mangalore,Furnished,Family,2,Contact Agent
Th50000027,Apartment,2012,2022-06-04,3,7181,1321,9 out of 12,Plot Area,Area 224,Aurangabad,Furnished,Bachelors/Family,2,Contact Owner
Th50000028,Apartment,2019,2022-05-12,2,9251,1266,8 out of 13,Plot Area,Area 862,Gwalior,Unfurnished,Bachelors/Family,2,Contact Agent
Th50000029,Apartment,1996,2022-06-03,2,13510,677,7 out of 14,Plot Area,Area 600,Rajkot,Furnished,Bachelors,1,Contact Agent
Th50000030,Apartment,2021,2022-04-13,3,14013,1281,1 out of 13,Plot Area,Area 519,Hyderabad,Unfurnished,Family,2,Contact Owner
Th50000031,Apartment,2016,2022-05-06,2,13743,861,7 out of 12,Carpet Area,Area 534,Kalyan-Dombivli,Unfurnished,Family,3,Contact Agent
Th50000032,Apartment,1996,2022-07-02,2,13854,1400,1 out of 10,Carpet Area,Area 951,Vijayawada,Unfurnished,Family,3,Contact Agent
Th50000033,Apartment,2009,2022-06-14,2,15409,924,9 out of 18,Super Area,Area 492,Navi Mumbai,Semi-Furnished,Family,1,Contact Agent
Th50000034,Apartment,2001,2022-06-24,2,9085,1201,3 out of 3,Plot Area,Area 553,Mysore,Semi-Furnished,Bachelors,3,Contact Agent
Th50000035,Apartment,1993,2022-05-06,1,13054,1327,4 out of 4,Plot Area,Area 135,Kanpur,Furnished,Family,3,Contact Owner
Th50000036,Apartment,2012,2022-04-17,2,10221,757,5 out of 15,Super Area,Area 162,Delhi,Furnished,Bachelors,2,Contact Owner
Th50000037,Apartment,1990,2022-07-05,1,5878,831,8 out of 12,Plot Area,Area 515,Patna,Semi-Furnished,Bachelors,3,Contact Owner
Th50000038,Apartment,2017,2022-04-24,3,9679,500,1 out of 12,Super Area,Area 435,Nashik,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000039,Apartment,2013,2022-06-22,1,10713,702,3 out of 18,Plot Area,Area 168,Varanasi,Unfurnished,Family,1,Contact Owner
Th50000040,Apartment,2013,2022-05-22,2,10041,860,6 out of 9,Plot Area,Area 335,Thane,Unfurnished,Bachelors/Family,1,Contact Agent
Th50000041,Apartment,2001,2022-05-27,2,20235,1101,5 out of 15,Plot Area,Area 367,Bangalore,Furnished,Bachelors/Family,2,Contact Agent
Th50000042,Apartment,2021,2022-07-05,3,21630,1316,3 out of 12,Built Area,Area 321,Nashik,Furnished,Bachelors/Family,2,Contact Agent
Th50000043,Apartment,2017,2022-05-21,3,11457,908,2 out of 17,Plot Area,Area 780,Lucknow,Unfurnished,Family,2,Contact Owner
Th50000044,Apartment,1990,2022-04-29,3,10842,814,1 out of 14,Super Area,Area 949,Ranchi,Unfurnished,Bachelors,2,Contact Agent
Th50000045,Apartment,2019,2022-04-15,2,10267,1151,9 out of 6,Carpet Area,Area 398,Ludhiana,Furnished,Bachelors,1,Contact Agent
Th50000046,Apartment,2012,2022-05-25,2,7145,609,5 out of 19,Plot Area,Area 570,Meerut,Furnished,Bachelors,3,Contact Agent
Th50000047,Apartment,2003,2022-04-19,3,8836,880,6 out of 12,Built Area,Area 772,Nagpur,Unfurnished,Bachelors/Family,3,Contact Agent
Th50000048,Apartment,1999,2022-04-24,2,14382,852,1 out of 17,Carpet Area,Area 820,Noida,Furnished,Bachelors/Family,1,Contact Agent
Th50000049,Apartment,2021,2022-04-26,2,22607,1179,5 out of 3,Plot Area,Area 515,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
Th50000050,Apartment,2015,2022-06-14,1,17245,1019,9 out of 4,Carpet Area,Area 201,Thane,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50000051,Apartment,1991,2022-06-29,3,5240,514,1 out of 4,Built Area,Area 843,Jodhpur,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000052,Apartment,2017,2022-04-10,3,10697,805,5 out of 15,Super Area,Area 279,Faridabad,Semi-Furnished,Bachelors,1,Contact Owner
Th50000053,Apartment,1991,2022-06-25,3,12345,1027,8 out of 19,Super Area,Area 107,Surat,Furnished,Family,2,Contact Owner
Th50000054,Apartment,2002,2022-06-15,2,13862,800,3 out of 13,Carpet Area,Area 919,Lucknow,Furnished,Bachelors,1,Contact Agent
Th50000055,Apartment,1990,2022-05-25,3,7049,631,6 out of 8,Plot Area,Area 512,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50000056,Apartment,2017,2022-05-10,1,6846,559,2 out of 5,Plot Area,Area 206,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
Th50000057,Apartment,2001,2022-04-23,1,9621,598,9 out of 18,Carpet Area,Area 480,Patna,Unfurnished,Bachelors/Family,2,Contact Owner
Th50000058,Apartment,2004,2022-05-29,2,16620,948,9 out of 9,Plot Area,Area 810,Pune,Semi-Furnished,Family,2,Contact Agent
Th50000059,Apartment,1999,2022-06-16,1,19051,1075,6 out of 3,Built Area,Area 519,Mysore,Furnished,Bachelors,2,Contact Agent
Th50000060,Apartment,2018,2022-06-03,2,9001,1394,6 out of 10,Plot Area,Area 906,Nashik,Unfurnished,Bachelors,3,Contact Owner
Th50000061,Apartment,2012,2022-05-19,3,6840,1080,8 out of 10,Built Area,Area 956,Delhi,Furnished,Bachelors/Family,1,Contact Owner
Th50000062,Apartment,1994,2022-06-20,2,11478,664,3 out of 18,Carpet Area,Area 798,Kanpur,Unfurnished,Bachelors,3,Contact Owner
Th50000063,Apartment,2000,2022-04-14,2,15165,898,7 out of 18,Super Area,Area 119,Rajkot,Semi-Furnished,Family,2,Contact Owner
Th50000064,Apartment,1991,2022-05-17,3,18163,1193,10 out of 18,Carpet Area,Area 874,Pune,Unfurnished,Bachelors/Family,2,Contact Owner
Th50000065,Apartment,1994,2022-06-18,1,6942,511,9 out of 5,Carpet Area,Area 759,Gwalior,Semi-Furnished,Family,2,Contact Agent
Th50000066,Apartment,2020,2022-05-02,1,4428,617,6 out of 11,Carpet Area,Area 781,Surat,Unfurnished,Family,2,Contact Owner
Th50000067,Apartment,2021,2022-07-08,1,12983,1094,1 out of 9,Plot Area,Area 110,Pune,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50000068,Apartment,2002,2022-04-27,1,12743,1077,5 out of 17,Built Area,Area 346,Vadodara,Unfurnished,Bachelors,2,Contact Owner
Th50000069,Apartment,1991,2022-04-13,2,7144,906,10 out of 17,Super Area,Area 396,Ghaziabad,Furnished,Family,2,Contact Agent
Th50000070,Apartment,2009,2022-04-19,1,19236,992,2 out of 6,Super Area,Area 924,Chandigarh,Unfurnished,Bachelors/Family,1,Contact Agent
Th50000071,Apartment,2003,2022-07-09,1,5344,577,3 out of 16,Built Area,Area 461,Kanpur,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50000072,Apartment,2012,2022-07-07,2,9882,670,4 out of 3,Plot Area,Area 971,Agra,Furnished,Bachelors/Family,2,Contact Agent
Th50000073,Apartment,1999,2022-04-05,2,10596,754,2 out of 3,Plot Area,Area 105,Pune,Furnished,Family,1,Contact Agent
Th50000074,Apartment,1998,2022-04-30,1,13522,1057,1 out of 18,Plot Area,Area 524,Varanasi,Semi-Furnished,Family,3,Contact Agent
Th50000075,Apartment,2001,2022-05-22,1,11610,1244,5 out of 17,Super Area,Area 851,Nashik,Unfurnished,Family,3,Contact Owner
Th50000076,Apartment,2012,2022-05-27,3,7110,626,6 out of 7,Plot Area,Area 120,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50000077,Apartment,2011,2022-06-04,3,24125,1248,6 out of 12,Super Area,Area 631,Kalyan-Dombivli,Furnished,Family,2,Contact Owner
Th50000078,Apartment,2020,2022-05-30,1,12084,808,10 out of 5,Built Area,Area 942,Visakhapatnam,Unfurnished,Bachelors/Family,2,Contact Owner
Th50000079,Apartment,2019,2022-06-08,3,16837,1025,1 out of 6,Carpet Area,Area 326,Faridabad,Semi-Furnished,Bachelors,2,Contact Owner
Th50000080,Apartment,2021,2022-06-14,3,9212,545,1 out of 5,Carpet Area,Area 202,Surat,Unfurnished,Family,2,Contact Owner
Th50000081,Apartment,2016,2022-04-10,3,15052,1389,6 out of 13,Carpet Area,Area 419,Visakhapatnam,Unfurnished,Bachelors,1,Contact Agent
Th50000082,Apartment,2004,2022-06-18,1,4200,609,4 out of 8,Carpet Area,Area 530,Aurangabad,Semi-Furnished,Bachelors,1,Contact Owner
Th50000083,Apartment,2000,2022-06-16,2,8738,995,10 out of 19,Plot Area,Area 419,Surat,Unfurnished,Bachelors,3,Contact Owner
Th50000084,Apartment,2000,2022-06-26,1,6829,612,4 out of 12,Built Area,Area 488,Mangalore,Furnished,Family,1,Contact Agent
Th50000085,Apartment,2021,2022-04-16,3,8005,644,7 out of 17,Plot Area,Area 355,Ghaziabad,Unfurnished,Bachelors,2,Contact Owner
Th50000086,Apartment,2015,2022-07-05,2,25322,1320,8 out of 4,Built Area,Area 880,Bangalore,Unfurnished,Bachelors,2,Contact Owner
Th50000087,Apartment,2014,2022-05-08,1,10403,786,5 out of 15,Plot Area,Area 441,Amritsar,Unfurnished,Family,1,Contact Agent
Th50000088,Apartment,2007,2022-04-26,1,4085,623,4 out of 20,Carpet Area,Area 474,Mumbai,Semi-Furnished,Family,2,Contact Owner
Th50000089,Apartment,1998,2022-06-19,1,3728,631,1 out of 7,Plot Area,Area 792,Kalyan-Dombivli,Furnished,Bachelors/Family,3,Contact Owner
Th50000090,Apartment,2001,2022-06-21,1,5553,1061,8 out of 20,Built Area,Area 601,Navi Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000091,Apartment,2007,2022-06-17,3,10271,1305,10 out of 20,Super Area,Area 627,Chandigarh,Furnished,Bachelors/Family,3,Contact Agent
Th50000092,Apartment,2015,2022-06-21,2,22844,1153,2 out of 10,Plot Area,Area 985,Rajkot,Furnished,Bachelors,3,Contact Agent
Th50000093,Apartment,2003,2022-05-26,2,26053,1372,4 out of 9,Carpet Area,Area 372,Navi Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
Th50000094,Apartment,2007,2022-06-12,1,15622,1104,4 out of 17,Plot Area,Area 638,Kolkata,Unfurnished,Family,2,Contact Agent
Th50000095,Apartment,1994,2022-07-10,3,10027,654,3 out of 17,Carpet Area,Area 486,Bangalore,Furnished,Bachelors/Family,1,Contact Agent
Th50000096,Apartment,2004,2022-07-01,1,12398,1171,8 out of 12,Carpet Area,Area 623,Mysore,Unfurnished,Family,3,Contact Agent
Th50000097,Apartment,2004,2022-05-02,2,14643,749,1 out of 8,Carpet Area,Area 823,Mangalore,Unfurnished,Family,1,Contact Agent
Th50000098,Apartment,2020,2022-07-03,1,5885,926,8 out of 4,Super Area,Area 214,Ghaziabad,Furnished,Bachelors,3,Contact Agent
Th50000099,Apartment,1996,2022-04-24,2,15521,1119,10 out of 18,Carpet Area,Area 371,Ghaziabad,Furnished,Bachelors/Family,2,Contact Agent
Th50000100,Apartment,2010,2022-05-08,2,14477,1252,8 out of 11,Built Area,Area 142,Noida,Furnished,Bachelors/Family,1,Contact Owner
Th50000101,Apartment,2006,2022-05-27,2,19981,1253,1 out of 18,Built Area,Area 215,Vijayawada,Unfurnished,Bachelors/Family,1,Contact Agent
Th50000102,Apartment,2012,2022-06-24,1,9740,1192,3 out of 12,Built Area,Area 906,Noida,Semi-Furnished,Bachelors/Family,3,Contact Agent
Th50000103,Apartment,2018,2022-06-12,1,11600,768,3 out of 8,Carpet Area,Area 647,Ludhiana,Furnished,Bachelors,1,Contact Agent
Th50000104,Apartment,2012,2022-04-21,2,10759,1226,7 out of 7,Carpet Area,Area 860,Coimbatore,Unfurnished,Bachelors,1,Contact Owner
Th50000105,Apartment,1990,2022-06-11,3,11280,713,10 out of 12,Carpet Area,Area 461,Ludhiana,Furnished,Bachelors,1,Contact Agent
Th50000106,Apartment,2012,2022-04-08,2,11117,625,5 out of 14,Super Area,Area 877,Meerut,Unfurnished,Bachelors/Family,3,Contact Owner
Th50000107,Apartment,1995,2022-05-20,2,8414,940,9 out of 10,Super Area,Area 550,Vijayawada,Semi-Furnished,Bachelors,2,Contact Owner
Th50000108,Apartment,1990,2022-05-31,2,3967,604,3 out of 4,Super Area,Area 287,Aurangabad,Furnished,Bachelors,2,Contact Agent
Th50000109,Apartment,1997,2022-06-03,1,10149,548,8 out of 11,Plot Area,Area 699,Vijayawada,Semi-Furnished,Family,1,Contact Agent
Th50000110,Apartment,2016,2022-04-05,1,4826,516,1 out of 6,Carpet Area,Area 505,Pune,Furnished,Bachelors/Family,3,Contact Owner
Th50000111,Apartment,1996,2022-07-01,3,6009,1042,2 out of 16,Built Area,Area 444,Kalyan-Dombivli,Unfurnished,Family,2,Contact Agent
Th50000112,Apartment,1997,2022-06-16,3,5624,874,8 out of 19,Built Area,Area 621,Mangalore,Semi-Furnished,Bachelors,1,Contact Agent
Th50000113,Apartment,1999,2022-06-14,3,4753,896,3 out of 5,Carpet Area,Area 946,Chennai,Unfurnished,Bachelors,1,Contact Owner
Th50000114,Apartment,2015,2022-05-01,3,11071,958,2 out of 20,Built Area,Area 216,Meerut,Semi-Furnished,Bachelors/Family,2,Contact Agent
Th50000115,Apartment,2017,2022-06-10,3,6514,673,8 out of 6,Built Area,Area 879,Jaipur,Furnished,Family,2,Contact Owner
Th50000116,Apartment,1997,2022-04-12,3,14493,1082,8 out of 8,Built Area,Area 178,Chandigarh,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50000117,Apartment,1998,2022-04-15,3,7840,827,4 out of 16,Carpet Area,Area 387,Agra,Furnished,Bachelors,3,Contact Owner
Th50000118,Apartment,2010,2022-07-07,2,6370,1244,5 out of 11,Built Area,Area 284,Ranchi,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50000119,Apartment,2021,2022-05-14,3,12847,853,8 out of 17,Super Area,Area 278,Lucknow,Furnished,Bachelors,1,Contact Agent
Th50000120,Apartment,1999,2022-06-09,2,20216,1400,10 out of 20,Plot Area,Area 152,Ranchi,Semi-Furnished,Family,1,Contact Owner
Th50000121,Apartment,2007,2022-07-07,2,12990,785,3 out of 3,Plot Area,Area 785,Ahmedabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50000122,Apartment,2014,2022-04-27,1,14345,1151,10 out of 18,Carpet Area,Area 899,Pune,Semi-Furnished,Family,2,Contact Agent
Th50000123,Apartment,2015,2022-06-10,3,8462,544,3 out of 14,Built Area,Area 809,Vijayawada,Semi-Furnished,Bachelors,1,Contact Agent
